artist,title,year,format,label,catalog,condition,notes,added
Warren Zevon,Warren Zevon,1976,LP,,,,picked up recently,2026-09-23
Warren Zevon,Excitable Boy,1978,LP,,,,,2026-09-23
Warren Zevon,Stand in the Fire,1980,LP,,,,,2026-09-23
Aerosmith,Toys in the Attic,1975,LP,,,,3 copies,2026-09-23
Rod Stewart,Every Picture Tells a Story,1971,LP,,,,"2 copies, both Classic Edition reissues",2026-09-23
Mott the Hoople,Mott,1973,LP,,,,picked up recently,2026-09-23
Mott the Hoople,All the Young Dudes,1972,LP,,,,picked up recently,2026-09-23
James Gang,James Gang Rides Again,1970,LP,,,,picked up recently,2026-09-23
James Gang,Thirds,1971,LP,,,,picked up recently,2026-09-23
Eric Clapton,Slowhand,1977,LP,,,,picked up recently,2026-09-23
Eric Clapton,Timepieces: The Best of Eric Clapton,1982,LP,,,,,2026-09-23
The Allman Brothers Band,Eat a Peach,1972,LP,,,,picked up recently,2026-09-23
Blue Oyster Cult,Agents of Fortune,1976,LP,,,,,2026-09-23
Eagles,Their Greatest Hits (1971-1975),1976,LP,,,,,2026-09-23
Dire Straits,Brothers in Arms,1985,LP,,,,,2026-09-23
Cheap Trick,Dream Police,1979,LP,,,,almost certain; confirm on shelf,2026-09-23
Ramones,Rocket to Russia,1977,LP,,,,,2026-09-23
Green Day,Kerplunk,1991,LP,,,,picked up recently,2026-09-23
Joy Division,Unknown Pleasures,1979,LP,,,,,2026-09-23
Pixies,Doolittle,1989,LP,,,,,2026-09-23
Pixies,Indie Cindy,2014,LP,,,,,2026-09-23
Nirvana,Incesticide,1992,LP,,,,picked up recently,2026-09-23
Dashboard Confessional,MTV Unplugged 2.0,2002,LP,,,,,2026-09-23
The Hold Steady,Separation Sunday,2005,LP,,,,picked up recently,2026-09-23
The Mountain Goats,Tallahassee,2002,LP,,,,picked up recently,2026-09-23
The Mountain Goats,The Sunset Tree,2005,LP,,,,picked up recently,2026-09-23
Whiskeytown,Faithless Street,1995,LP,,,,picked up recently,2026-09-23
Jay-Z,Vol. 2... Hard Knock Life,1998,LP,,,,,2026-09-23
Jay-Z,The Blueprint,2001,LP,,,,,2026-09-23
