section,artist,title,note
Classic rock,Warren Zevon,Sentimental Hygiene,
Classic rock,Faces,Long Player,
Classic rock,Faces,A Nod Is as Good as a Wink... to a Blind Horse,
Classic rock,Faces,Ooh La La,
Classic rock,Tom Petty and the Heartbreakers,Greatest Hits,1993; 2016 reissue
Classic rock,Tom Petty and the Heartbreakers,Wildflowers,2020 reissue
Classic rock,Steve Miller Band,Greatest Hits 1974-78,
Classic rock,Rod Stewart,Gasoline Alley,1970
Classic rock,Aerosmith,Aerosmith,1973
Classic rock,Aerosmith,Get Your Wings,1974
Classic rock,Aerosmith,Rocks,1976
Classic rock,The Allman Brothers Band,Brothers and Sisters,
Classic rock,The Jimi Hendrix Experience,Electric Ladyland,double LP
Classic rock,The Who,Who's Next,
Classic rock,Eric Clapton,Layla and Other Assorted Love Songs,
Classic rock,Deep Purple,Machine Head,
Classic rock,Blue Oyster Cult,Spectres,
Classic rock,George Thorogood and the Destroyers,George Thorogood and the Destroyers,
Classic rock,Jackson 5,Greatest Hits,1971 Motown
Classic rock,Elvis Presley,Aloha from Hawaii via Satellite,1973
Classic rock,Van Morrison,Moondance,
Classic rock,Pink Floyd,The Dark Side of the Moon,original pressing
Classic rock,Pink Floyd,The Wall,double LP
Classic rock,Queen,Greatest Hits,1981
Classic rock,Queen,Greatest Hits II,1991
Classic rock,Mötley Crüe,Too Fast for Love,Leathür original
Classic rock,Mötley Crüe,"Girls, Girls, Girls",1987
"Punk, hardcore, pop-punk",Johnny Thunders,So Alone,
"Punk, hardcore, pop-punk",Johnny Thunders,L.A.M.F.,Lost '77 Mixes
"Punk, hardcore, pop-punk",Sex Pistols,Never Mind the Bollocks,Warner US original
"Punk, hardcore, pop-punk",Sex Pistols,The Great Rock 'n' Roll Swindle,UK double
"Punk, hardcore, pop-punk",The Clash,Give 'Em Enough Rope,
"Punk, hardcore, pop-punk",The Clash,Combat Rock,
"Punk, hardcore, pop-punk",Ramones,Ramones,1976
"Punk, hardcore, pop-punk",Ramones,Leave Home,
"Punk, hardcore, pop-punk",Ramones,Road to Ruin,
"Punk, hardcore, pop-punk",Ramones,It's Alive,
"Punk, hardcore, pop-punk",Operation Ivy,Energy,1989 Lookout
"Punk, hardcore, pop-punk",NOFX,Punk in Drublic,
"Punk, hardcore, pop-punk",Green Day,39/Smooth,"Lookout; or 1,039/Smoothed Out"
"Punk, hardcore, pop-punk",Green Day,Insomniac,
"Punk, hardcore, pop-punk",Green Day,Nimrod,
"Punk, hardcore, pop-punk",Blink-182,Cheshire Cat,1995 original
"Punk, hardcore, pop-punk",Blink-182,Dude Ranch,1997 original
"80s: new wave, post-punk, synth-pop",The English Beat,I Just Can't Stop It,
"80s: new wave, post-punk, synth-pop",The English Beat,Special Beat Service,
"80s: new wave, post-punk, synth-pop",Joy Division,Substance,
"80s: new wave, post-punk, synth-pop",New Order,Substance,1987; double LP
"80s: new wave, post-punk, synth-pop",The Cure,Disintegration,2010 2LP
"80s: new wave, post-punk, synth-pop",The Cure,Galore,or Greatest Hits (2001)
"80s: new wave, post-punk, synth-pop",The Smiths,Louder Than Bombs,US double LP
"80s: new wave, post-punk, synth-pop",The Smiths,"Strangeways, Here We Come",
"80s: new wave, post-punk, synth-pop",Morrissey,Bona Drag,
"80s: new wave, post-punk, synth-pop",Depeche Mode,Speak & Spell,1981
"80s: new wave, post-punk, synth-pop",Depeche Mode,"""Stripped"" 12-inch single",
"80s: new wave, post-punk, synth-pop",Book of Love,Book of Love,
"80s: new wave, post-punk, synth-pop",The Psychedelic Furs,Midnight to Midnight,
